Returns,Risks,k
0.000606474,0.000210742,5
0.000606474,0.000210742,5
0.000606474,0.000210742,5
0.000606474,0.000210742,5
0.000606474,0.000210742,5
0.000606474,0.000210742,5
0.000606474,0.000210742,5
0.000606474,0.000210742,5
0.000606474,0.000210742,5
0.000606474,0.000210742,5
0.000606474,0.000210742,5
0.000606474,0.000210742,5
0.000606474,0.000210742,5
0.000606474,0.000210742,5
0.000606474,0.000210742,5
0.000606474,0.000210742,5
0.000606474,0.000210742,5
0.000606474,0.000210742,5
0.000606474,0.000210742,5
0.000606474,0.000210742,5
0.000606474,0.000210742,5
0.000606474,0.000210742,5
0.000606474,0.000210742,5
0.000606474,0.000210742,5
0.000606474,0.000210742,5
0.000606474,0.000210742,5
0.000606474,0.000210742,5
0.000606474,0.000210742,5
0.000606474,0.000210742,5
0.000606474,0.000210742,5
0.000606474,0.000210742,5
0.000606474,0.000210742,5
0.000606474,0.000210742,5
0.000606474,0.000210742,5
0.000606474,0.000210742,5
0.000606474,0.000210742,5
0.000606474,0.000210742,5
0.000606474,0.000210742,5
0.000606474,0.000210742,5
0.000606474,0.000210742,5
0.000606474,0.000210742,5
0.000606474,0.000210742,5
0.000606474,0.000210742,5
0.000606474,0.000210742,5
0.000606474,0.000210742,5
0.000606474,0.000210742,5
0.000606474,0.000210742,5
0.000606474,0.000210742,5
0.000606474,0.000210742,5
0.000606474,0.000210742,5
0.000606474,0.000210742,5
0.000606474,0.000210742,5
0.000606474,0.000210742,5
0.000606474,0.000210742,5
0.000606474,0.000210742,5
0.000606474,0.000210742,5
0.000606474,0.000210742,5
0.000606474,0.000210742,5
0.000606474,0.000210742,5
0.000606474,0.000210742,5
0.000606474,0.000210742,5
0.000606474,0.000210742,5
0.000606474,0.000210742,5
0.000606474,0.000210742,5
0.000606474,0.000210742,5
0.000606474,0.000210742,5
0.000606474,0.000210742,5
0.000606474,0.000210742,5
0.000606474,0.000210742,5
0.000606474,0.000210742,5
0.000606332,0.000210539,5
0.000606332,0.000210539,5
0.000606332,0.000210539,5
0.000606332,0.000210539,5
0.000606332,0.000210539,5
0.000606332,0.000210539,5
0.000606332,0.000210539,5
0.000606332,0.000210539,5
0.000606332,0.000210539,5
0.000606332,0.000210539,5
0.000606332,0.000210539,5
0.000606332,0.000210539,5
0.000606332,0.000210539,5
0.000606332,0.000210539,5
0.000606332,0.000210539,5
0.000606332,0.000210539,5
0.000606332,0.000210539,5
0.000606332,0.000210539,5
0.000606332,0.000210539,5
0.000606332,0.000210539,5
0.000606332,0.000210539,5
0.000606332,0.000210539,5
0.000606332,0.000210539,5
0.000606332,0.000210539,5
0.000606332,0.000210539,5
0.000606332,0.000210539,5
0.000606332,0.000210539,5
0.000606332,0.000210539,5
0.000606332,0.000210539,5
0.000606332,0.000210539,5
0.000606332,0.000210539,5
0.000606332,0.000210539,5
0.000606332,0.000210539,5
0.000606332,0.000210539,5
0.000606332,0.000210539,5
0.000606332,0.000210539,5
0.000606332,0.000210539,5
0.000606332,0.000210539,5
0.000606332,0.000210539,5
0.000606332,0.000210539,5
0.000606332,0.000210539,5
0.000606332,0.000210539,5
0.000606332,0.000210539,5
0.000606332,0.000210539,5
0.000606332,0.000210539,5
0.000606332,0.000210539,5
0.000606332,0.000210539,5
0.000606332,0.000210539,5
0.000606332,0.000210539,5
0.000606332,0.000210539,5
0.000606332,0.000210539,5
0.000606332,0.000210539,5
0.000606332,0.000210539,5
0.000606332,0.000210539,5
0.000606332,0.000210539,5
0.000606332,0.000210539,5
0.000606332,0.000210539,5
0.000606332,0.000210539,5
0.000606332,0.000210539,5
0.000606332,0.000210539,5
0.000606332,0.000210539,5
0.000606332,0.000210539,5
0.000606251,0.000210483,5
0.000606251,0.000210483,5
0.000606251,0.000210483,5
0.000606251,0.000210483,5
0.000606251,0.000210483,5
0.000606251,0.000210483,5
0.000606251,0.000210483,5
0.000606251,0.000210483,5
0.000606251,0.000210483,5
0.000606251,0.000210483,5
0.000606251,0.000210483,5
0.000606251,0.000210483,5
0.000606251,0.000210483,5
0.000606251,0.000210483,5
0.000606251,0.000210483,5
0.000606251,0.000210483,5
0.000606251,0.000210483,5
0.000606251,0.000210483,5
0.000606251,0.000210483,5
0.000605868,0.000209887,5
0.000605868,0.000209887,5
0.000605868,0.000209887,5
0.000605868,0.000209887,5
0.000605868,0.000209887,5
0.000605868,0.000209887,5
0.000605868,0.000209887,5
0.000605868,0.000209887,5
0.000605868,0.000209887,5
0.000605868,0.000209887,5
0.000605868,0.000209887,5
0.000605868,0.000209887,5
0.000605868,0.000209887,5
0.000605868,0.000209887,5
0.000605868,0.000209887,5
0.000605868,0.000209887,5
0.000605868,0.000209887,5
0.000605868,0.000209887,5
0.000605868,0.000209887,5
0.000605868,0.000209887,5
0.000605868,0.000209887,5
0.000605868,0.000209887,5
0.000605868,0.000209887,5
0.000605868,0.000209887,5
0.000605868,0.000209887,5
0.000605868,0.000209887,5
0.000605868,0.000209887,5
0.000605868,0.000209887,5
0.000605868,0.000209887,5
0.000605868,0.000209887,5
0.000605868,0.000209887,5
0.000605868,0.000209887,5
0.000605868,0.000209887,5
0.000605868,0.000209887,5
0.000605868,0.000209887,5
0.000605868,0.000209887,5
0.000605868,0.000209887,5
0.000605868,0.000209887,5
0.000605868,0.000209887,5
0.000605868,0.000209887,5
0.000605868,0.000209887,5
0.000605868,0.000209887,5
0.000605868,0.000209887,5
0.000605868,0.000209887,5
